,processor_company,Ram_1,Ram_type,Processor,Brand,Operating_System,SSD,HDD,Touch_Screen,Price
54,Intel,8,DDR4,i5,acer,win10,512,0,no,47990
55,AMD,8,DDR4,r3,HP,win11,512,0,no,37499
56,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
57,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
58,AMD,8,DDR4,r9,ASUS,win10,1020,0,no,94990
59,Intel,8,DDR4,i3,ASUS,win11,512,0,no,32990
60,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
61,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
62,Intel,4,DDR4,Celeron,ASUS,win11,256,0,no,23990
63,AMD,16,DDR4,r5,HP,win11,512,0,no,48990
64,Apple,8,Unified,M2,APPLE,MacOS,512,0,no,139990
65,AMD,16,DDR4,r7,ASUS,win11,512,0,no,89990
66,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
67,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
68,AMD,8,DDR4,r5,ASUS,win11,1020,0,no,59990
69,AMD,16,DDR4,r5,DELL,win11,512,0,no,70990
70,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
71,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,44990
72,Intel,8,LPDDR4X,Celeron,Infinix,win11,256,0,no,22990
73,AMD,8,DDR4,r5,HP,win11,512,0,no,46990
74,Intel,8,DDR4,i5,ASUS,win10,256,1020,no,50990
75,Intel,8,LPDDR4X,i3,Infinix,win11,256,0,no,28990
76,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
77,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
78,Intel,16,DDR4,i7,MSI,win10,512,0,no,84990
79,Apple,16,Unified,M1P,APPLE,MacOS,512,0,no,181990
80,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
81,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
82,AMD,16,DDR4,r9,MSI,win11,1020,0,no,109990
84,Intel,16,LPDDR4X,i5,Infinix,win11,512,0,no,37990
85,Apple,8,Unified,M2,APPLE,MacOS,512,0,no,139990
86,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
87,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
88,Intel,4,DDR4,i3,Lenovo,win11,256,0,no,29990
89,Intel,4,DDR4,Celeron,Lenovo,Chrome,0,0,no,19490
90,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
91,AMD,8,DDR4,r7,Lenovo,win11,512,0,no,73490
92,AMD,8,DDR4,r5,ASUS,win11,256,1020,no,52990
93,Intel,8,DDR4,i3,HP,win11,512,0,no,41890
94,Intel,8,DDR4,Pentium,DELL,win11,256,0,no,30428
95,Intel,8,DDR4,i3,acer,win11,512,0,no,34990
96,Intel,4,DDR4,Celeron,Lenovo,Chrome,0,0,no,19490
97,Intel,4,DDR4,i3,Lenovo,win11,256,0,no,29990
98,Apple,8,DDR4,M1,APPLE,MacOS,256,0,no,88990
99,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
100,Intel,8,DDR4,i7,MSI,win10,512,0,no,65990
101,Intel,8,DDR4,i3,ASUS,win11,512,0,no,33490
102,Intel,16,DDR4,i5,HP,win11,512,0,no,60990
103,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
104,AMD,8,DDR4,r5,HP,win11,512,0,no,46990
105,AMD,16,DDR4,r7,ASUS,win11,512,0,no,59990
106,Intel,16,DDR4,i7,MSI,win10,1020,0,no,114990
107,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
108,Intel,16,DDR4,i7,ASUS,win10,1020,0,no,119990
109,Intel,8,LPDDR4X,i5,Infinix,win11,512,0,no,42990
110,Intel,16,LPDDR5,i5,ASUS,win11,512,0,no,89990
111,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
112,AMD,8,DDR4,r7,MSI,win11,512,0,no,79990
113,Intel,8,DDR4,i5,ASUS,win11,1020,0,no,70990
114,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,33900
115,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
116,Intel,8,DDR4,i5,realme,win10,512,0,no,59990
117,Intel,16,LPDDR4X,i7,Infinix,win11,512,0,no,52990
118,Apple,16,DDR4,M1,APPLE,MacOS,512,0,no,124990
119,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
120,Intel,8,DDR4,i3,RedmiBook,win11,256,0,no,31990
121,AMD,16,DDR4,r5,acer,win11,512,0,no,66990
122,AMD,16,DDR4,r7,DELL,win11,512,0,no,89081
123,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
124,Apple,8,DDR4,M1,APPLE,MacOS,512,0,no,104990
125,Intel,8,DDR4,i5,Lenovo,win11,512,0,no,53490
126,Intel,8,LPDDR4X,i3,ASUS,win11,256,0,yes,45990
127,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
128,Intel,8,DDR4,i3,ASUS,win11,512,0,no,45990
129,Intel,8,DDR4,i5,MSI,win11,512,0,no,51990
130,AMD,16,DDR4,r7,HP,win11,512,0,no,75990
131,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
132,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
133,Intel,16,DDR4,i5,HP,win11,512,0,yes,78800
134,AMD,8,DDR4,Athlon,HP,win11,512,0,no,29390
135,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
136,Intel,8,LPDDR4X,i3,Infinix,win11,256,0,no,30990
137,Intel,16,DDR4,i5,Lenovo,win11,512,0,no,62490
138,Intel,16,DDR4,i7,ASUS,win11,512,0,no,89990
139,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
140,Intel,8,DDR4,i5,HP,win11,512,0,no,58899
141,Intel,16,DDR4,i5,MSI,win11,512,0,no,85990
142,AMD,8,DDR4,r3,DELL,win11,0,1020,no,33099
143,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
144,AMD,8,DDR4,r7,Lenovo,win11,512,0,no,73490
